"dataset_partition","modality","cycle","stage_id","stage_ordinal","stage_qc_status","relative_path","bytes","sha256"
"blind","ETP_eddy_current","C1","S0","0","PASS","raw/blind/C1/etp/零压力测试/285000.csv","5708152","a26de15270a22135cdc9f5c433496f45f85d2cf2ae86423a178b1d9a54f0e1d2"
"blind","ETP_eddy_current","C1","S0","0","PASS","raw/blind/C1/etp/零压力测试/300000.csv","5617760","ea5f689948f388f9095cdf6989ecc83c3614b9d69b9cd778794c771314616a65"
"blind","ETP_eddy_current","C1","S0","0","PASS","raw/blind/C1/etp/零压力测试/315000.csv","5634010","24f89baa1c43953128205af76148a7f4993d0c01e16f3348d5a971ce0d24b483"
"blind","ETP_eddy_current","C1","S0","0","PASS","raw/blind/C1/etp/零压力测试/330000.csv","5635162","a4aade239a62d47b248756275e2252e887a21c67e7e134f1acdda040fa1971d6"
"blind","ETP_eddy_current","C1","S0","0","PASS","raw/blind/C1/etp/零压力测试/345000.csv","5621578","d05bb80c8b61ad33bdb657ad9eab0afe1088ffe8b71831e6ab9f44ec5e1c6f3e"
"blind","ETP_eddy_current","C1","S0","0","PASS","raw/blind/C1/etp/零压力测试/360000.csv","5717172","ea129695d3d1a37f50e55df130810a9daa436c51b42bace02f6d7318d57dc32f"
"blind","magnetic_shared_MEM_remanence","C1","S0","0","PASS","raw/blind/C1/magnetic/零压力测试/105000.csv","115189476","0ce1438d3fddf48c5c8c9f32849165fd3ed997920339504cfcbc2b80853c7879"
"blind","magnetic_shared_MEM_remanence","C1","S0","0","PASS","raw/blind/C1/magnetic/零压力测试/120000.csv","115357580","d3182eecf939e26c03161476241c72f17d0777e1af2e128c029cdcb9a84b7a29"
"blind","magnetic_shared_MEM_remanence","C1","S0","0","PASS","raw/blind/C1/magnetic/零压力测试/135000.csv","115393071","ac831aceffb4c9236a7b18288d027d8e8a413d9a2941891d857478754a867cc5"
"blind","magnetic_shared_MEM_remanence","C1","S0","0","PASS","raw/blind/C1/magnetic/零压力测试/75000.csv","115201758","28347b5bf47ab479b0241bb5c565373cb0fbf8cbc896d5d52f33cb676975cab2"
"blind","magnetic_shared_MEM_remanence","C1","S0","0","PASS","raw/blind/C1/magnetic/零压力测试/90000.csv","115397316","02d67dcc3c892af57e7bb7c46223f7c1464db2f04dcfbc1891dca587911ae404"
"blind","ETP_eddy_current","C1","S1","1","PASS","raw/blind/C1/etp/第一次加压/330000.csv","5767742","d3aad6c3bc229cafcd60cf59716e16736f5df564184bf6a7d8a847929ea541fa"
