stage_id,stage_ordinal,stage_label,microstrain,nominal_stress_mpa,feature_id,modality,axis,feature_value,feature_scope
S0,0,零压力,0.0,0.0,remanence_X_q90_level_central_minus_outside,remanence,X,0.21694203591349792,development_calibration_only
S1,1,第一次加压,195.275,40.22665,remanence_X_q90_level_central_minus_outside,remanence,X,0.33030990982036323,development_calibration_only
S2,2,第二次加压,444.7,91.6082,remanence_X_q90_level_central_minus_outside,remanence,X,0.5519999504089603,development_calibration_only
S3,3,第三次加压,699.9,144.1794,remanence_X_q90_level_central_minus_outside,remanence,X,0.8734500789642183,development_calibration_only
S4,4,第四次加压,956.075,196.95145,remanence_X_q90_level_central_minus_outside,remanence,X,1.1648520202637949,development_calibration_only
S5,5,第五次加压,1216.225,250.54235,remanence_X_q90_level_central_minus_outside,remanence,X,1.427199969291669,development_calibration_only
S6,6,第六次加压,1482.4,305.3744,remanence_X_q90_level_central_minus_outside,remanence,X,1.6605168582199,development_calibration_only
S0,0,零压力,0.0,0.0,remanence_X_median_level_heads_minus_supports,remanence,X,0.046885008931173644,development_calibration_only
S1,1,第一次加压,195.275,40.22665,remanence_X_median_level_heads_minus_supports,remanence,X,0.08034999024858291,development_calibration_only
S2,2,第二次加压,444.7,91.6082,remanence_X_median_level_heads_minus_supports,remanence,X,0.143000130653407,development_calibration_only
S3,3,第三次加压,699.9,144.1794,remanence_X_median_level_heads_minus_supports,remanence,X,0.21853742766363338,development_calibration_only
S4,4,第四次加压,956.075,196.95145,remanence_X_median_level_heads_minus_supports,remanence,X,0.3178499414921476,development_calibration_only
S5,5,第五次加压,1216.225,250.54235,remanence_X_median_level_heads_minus_supports,remanence,X,0.3847499206067164,development_calibration_only
S6,6,第六次加压,1482.4,305.3744,remanence_X_median_level_heads_minus_supports,remanence,X,0.43777507972705054,development_calibration_only
S0,0,零压力,0.0,0.0,MEM_Z_right_support_spatial_std_zero_delta_rms,MEM,Z,0.0,development_calibration_only
S1,1,第一次加压,195.275,40.22665,MEM_Z_right_support_spatial_std_zero_delta_rms,MEM,Z,0.009066732770451074,development_calibration_only
S2,2,第二次加压,444.7,91.6082,MEM_Z_right_support_spatial_std_zero_delta_rms,MEM,Z,0.020921916751952596,development_calibration_only
S3,3,第三次加压,699.9,144.1794,MEM_Z_right_support_spatial_std_zero_delta_rms,MEM,Z,0.033665945415203916,development_calibration_only
S4,4,第四次加压,956.075,196.95145,MEM_Z_right_support_spatial_std_zero_delta_rms,MEM,Z,0.04718125815848794,development_calibration_only
S5,5,第五次加压,1216.225,250.54235,MEM_Z_right_support_spatial_std_zero_delta_rms,MEM,Z,0.06209408977324006,development_calibration_only
S6,6,第六次加压,1482.4,305.3744,MEM_Z_right_support_spatial_std_zero_delta_rms,MEM,Z,0.07636288599649449,development_calibration_only
S0,0,零压力,0.0,0.0,remanence_X_circ_h1_amplitude_central_minus_outside,remanence,X,0.007447523231326372,development_calibration_only
S1,1,第一次加压,195.275,40.22665,remanence_X_circ_h1_amplitude_central_minus_outside,remanence,X,0.01356367201262891,development_calibration_only
S2,2,第二次加压,444.7,91.6082,remanence_X_circ_h1_amplitude_central_minus_outside,remanence,X,0.01788804994803528,development_calibration_only
S3,3,第三次加压,699.9,144.1794,remanence_X_circ_h1_amplitude_central_minus_outside,remanence,X,0.017696298689552636,development_calibration_only
S4,4,第四次加压,956.075,196.95145,remanence_X_circ_h1_amplitude_central_minus_outside,remanence,X,0.030299075833603348,development_calibration_only
S5,5,第五次加压,1216.225,250.54235,remanence_X_circ_h1_amplitude_central_minus_outside,remanence,X,0.03370507747444501,development_calibration_only
S6,6,第六次加压,1482.4,305.3744,remanence_X_circ_h1_amplitude_central_minus_outside,remanence,X,0.04539707821324841,development_calibration_only
