cycle_id,stage_id,stage_ordinal,circumferential_position,contrast,repeatability_eligible
C1,S0,0,1,-0.0998203697864971,1
C1,S0,0,2,-0.0879278555772722,1
C1,S0,0,3,-0.0627957935679313,1
C1,S0,0,4,-0.0635021410684679,1
C1,S0,0,5,-0.0710145230654112,1
C1,S0,0,6,-0.062803791489202,1
C1,S0,0,7,-0.0730803537217198,1
C1,S0,0,8,-0.0488821670042164,1
C1,S0,0,9,-0.0740515309274486,1
C1,S0,0,10,-0.0328005043770855,1
C1,S1,1,1,-0.0182491296973305,1
C1,S1,1,2,0.0288263439911408,1
C1,S1,1,3,0.0290558535969999,1
C1,S1,1,4,0.0359315179302079,1
C1,S1,1,5,0.0221912937966035,1
C1,S1,1,6,0.0214327855043591,1
C1,S1,1,7,0.0272907467831083,1
C1,S1,1,8,0.0481709746462039,1
C1,S1,1,9,0.0184398875427094,1
C1,S1,1,10,0.0498655855544284,1
C1,S2,2,1,-0.0010842839157682,1
C1,S2,2,2,0.0863993009236403,1
C1,S2,2,3,0.113003688518244,1
C1,S2,2,4,0.105736671012287,1
C1,S2,2,5,0.0713992569367624,1
C1,S2,2,6,0.0846706787955582,1
C1,S2,2,7,0.0878455637576698,1
C1,S2,2,8,0.10976683233539,1
C1,S2,2,9,0.067959839015676,1
C1,S2,2,10,0.108802420912109,1
C1,S3,3,1,0.0346910228373886,1
C1,S3,3,2,0.18917960464495,1
C1,S3,3,3,0.162114767372481,1
C1,S3,3,4,0.167862808191469,1
C1,S3,3,5,0.131933692352378,1
C1,S3,3,6,0.172435637904214,1
C1,S3,3,7,0.204296887413097,1
C1,S3,3,8,0.189915550422254,1
C1,S3,3,9,0.151972475112415,1
C1,S3,3,10,0.186762606220155,1
C1,S4,4,1,0.0724866991260524,1
C1,S4,4,2,0.28743142168785,1
C1,S4,4,3,0.232693457651448,1
C1,S4,4,4,0.24632722196906,1
C1,S4,4,5,0.196726472021297,1
C1,S4,4,6,0.248392139584862,1
C1,S4,4,7,0.301123075600087,1
C1,S4,4,8,0.260391709499305,1
C1,S4,4,9,0.2312962303854,1
C1,S4,4,10,0.281014093275972,1
C1,S5,5,1,0.204697611238316,1
C1,S5,5,2,0.396342408766191,1
C1,S5,5,3,0.303196866070722,1
C1,S5,5,4,0.381304438392199,1
C1,S5,5,5,0.346035481297302,1
C1,S5,5,6,0.332467589314222,1
C1,S5,5,7,0.434223295616086,1
C1,S5,5,8,0.402242697316856,1
C1,S5,5,9,0.351225762181082,1
C1,S5,5,10,0.387167835157102,1
C1,S6,6,1,0.256726533614799,1
C1,S6,6,2,0.482953907201563,1
C1,S6,6,3,0.376470440282478,1
C1,S6,6,4,0.426874326688372,1
C1,S6,6,5,0.356061609362559,1
C1,S6,6,6,0.387235161453117,1
