cycle_id,stage_id,stage_ordinal,physical_column_within_remanence,contrast,repeatability_eligible
C1,S0,0,1,0.323940404983146,1
C1,S0,0,2,0.187303109097524,1
C1,S0,0,3,0.121303665857143,1
C1,S0,0,4,0.245640776671784,1
C1,S0,0,5,0.20608864432153,1
C1,S0,0,6,-0.123467102362457,1
C1,S0,0,7,-0.188495111977955,1
C1,S0,0,8,-0.19037778175868,1
C1,S0,0,9,-0.269567995259239,1
C1,S0,0,10,-0.296977321525837,1
C1,S0,0,11,-0.352701884167178,1
C1,S0,0,12,-0.354219078801465,1
C1,S0,0,13,-0.17024905355553,1
C1,S0,0,14,-2.10407019749503e-05,1
C1,S0,0,15,0.0682609927208623,1
C1,S0,0,16,0.222711291879392,1
C1,S1,1,1,0.537993436021757,1
C1,S1,1,2,0.432620042058741,1
C1,S1,1,3,0.343284948020555,1
C1,S1,1,4,0.3274907235258,1
C1,S1,1,5,0.214956114928594,1
C1,S1,1,6,-0.0442519821368846,1
C1,S1,1,7,-0.132623777836669,1
C1,S1,1,8,-0.140662915577578,1
C1,S1,1,9,-0.242815669615976,1
C1,S1,1,10,-0.241454800191574,1
C1,S1,1,11,-0.290132041918081,1
C1,S1,1,12,-0.284811076937804,1
C1,S1,1,13,-0.150263469274899,1
C1,S1,1,14,0.0501466741591281,1
C1,S1,1,15,0.215089355699991,1
C1,S1,1,16,0.42801524816899,1
C1,S2,2,1,0.885273743940502,1
C1,S2,2,2,0.72411647603175,1
C1,S2,2,3,0.592940315897646,1
C1,S2,2,4,0.520816398283123,1
C1,S2,2,5,0.268617399560458,1
C1,S2,2,6,-0.0419336061040099,1
C1,S2,2,7,-0.14392119813052,1
C1,S2,2,8,-0.194958452710624,1
C1,S2,2,9,-0.278106248618243,1
C1,S2,2,10,-0.319168019728536,1
C1,S2,2,11,-0.334918586357415,1
C1,S2,2,12,-0.317477359622833,1
C1,S2,2,13,-0.152595242922149,1
C1,S2,2,14,0.136901235976337,1
C1,S2,2,15,0.406892232054037,1
C1,S2,2,16,0.745029137189074,1
C1,S3,3,1,1.29799902421534,1
C1,S3,3,2,1.10835681954067,1
C1,S3,3,3,0.914082062335378,1
C1,S3,3,4,0.690576314263203,1
C1,S3,3,5,0.373884293703865,1
C1,S3,3,6,-0.0236998113689311,1
C1,S3,3,7,-0.15530904700931,1
C1,S3,3,8,-0.201865554201197,1
C1,S3,3,9,-0.263696839193938,1
C1,S3,3,10,-0.302206704793389,1
C1,S3,3,11,-0.344501659838953,1
C1,S3,3,12,-0.36007190500008,1
C1,S3,3,13,-0.130707478691486,1
C1,S3,3,14,0.221026515881118,1
C1,S3,3,15,0.672925080353296,1
C1,S3,3,16,1.12925303781794,1
C1,S4,4,1,1.63313260769834,1
C1,S4,4,2,1.50843882490171,1
C1,S4,4,3,1.28238445772847,1
C1,S4,4,4,0.919940749709707,1
C1,S4,4,5,0.471479554537463,1
C1,S4,4,6,-0.0195392024945836,1
C1,S4,4,7,-0.147434390848202,1
C1,S4,4,8,-0.140189667952512,1
C1,S4,4,9,-0.178515119984148,1
C1,S4,4,10,-0.228376870845988,1
C1,S4,4,11,-0.297181375694269,1
C1,S4,4,12,-0.326521004402897,1
C1,S4,4,13,-0.0930855604943871,1
C1,S4,4,14,0.326074876447624,1
C1,S4,4,15,0.93044922102299,1
C1,S4,4,16,1.46103550630506,1
C1,S5,5,1,1.90611956361903,1
C1,S5,5,2,1.7502761967473,1
C1,S5,5,3,1.53942480866962,1
C1,S5,5,4,1.04418467515672,1
C1,S5,5,5,0.446096841024132,1
C1,S5,5,6,-0.0634056666391656,1
C1,S5,5,7,-0.108763338792429,1
C1,S5,5,8,-0.0389714277625741,1
C1,S5,5,9,-0.0985998621710367,1
C1,S5,5,10,-0.109333869228527,1
C1,S5,5,11,-0.240198763982328,1
C1,S5,5,12,-0.297481195271754,1
C1,S5,5,13,0.018989430806484,1
C1,S5,5,14,0.553228503507586,1
C1,S5,5,15,1.23862814938603,1
C1,S5,5,16,1.73830574701204,1
C1,S6,6,1,2.03485510855215,1
C1,S6,6,2,1.94039574350735,1
C1,S6,6,3,1.7927513913539,1
C1,S6,6,4,1.27424634691544,1
C1,S6,6,5,0.613387098151758,1
C1,S6,6,6,0.0424996425610497,1
C1,S6,6,7,-0.0759206505363589,1
C1,S6,6,8,0.0748674015938733,1
C1,S6,6,9,0.0618580114443408,1
C1,S6,6,10,0.022946386404014,1
C1,S6,6,11,-0.10719316017828,1
C1,S6,6,12,-0.213652552271887,1
C1,S6,6,13,0.0108538629887583,1
C1,S6,6,14,0.56043498606155,1
C1,S6,6,15,1.37599388398763,1
C1,S6,6,16,1.87258263408178,1
C2,S0,0,1,0.137754317545388,1
C2,S0,0,2,0.0307361463079749,1
C2,S0,0,3,0.0476788418282093,1
C2,S0,0,4,0.157762719559136,1
C2,S0,0,5,0.158764055903782,1
C2,S0,0,6,0.0235360601224029,1
C2,S0,0,7,-0.0448491800433733,1
C2,S0,0,8,-0.0656144368054351,1
C2,S0,0,9,-0.141598665039493,1
C2,S0,0,10,-0.195309774019253,1
C2,S0,0,11,-0.199447644622094,1
C2,S0,0,12,-0.118136497048392,1
C2,S0,0,13,0.0316547579317278,1
C2,S0,0,14,0.0612715425610179,1
C2,S0,0,15,0.065140027430462,1
C2,S0,0,16,0.126699722326426,1
C2,S1,1,1,0.480454428607011,1
C2,S1,1,2,0.363863141465294,1
C2,S1,1,3,0.318089181778508,1
C2,S1,1,4,0.338905454466202,1
C2,S1,1,5,0.252957046958022,1
C2,S1,1,6,0.00940601564775989,1
C2,S1,1,7,-0.0451068855889845,1
C2,S1,1,8,-0.0790006057681871,1
C2,S1,1,9,-0.14083007189659,1
C2,S1,1,10,-0.190906748403903,1
C2,S1,1,11,-0.190768037119406,1
C2,S1,1,12,-0.128593958850205,1
C2,S1,1,13,0.0556166381741739,1
C2,S1,1,14,0.146319821319512,1
C2,S1,1,15,0.302688991413071,1
C2,S1,1,16,0.439091873868467,1
C2,S2,2,1,0.464105025028281,0
C2,S2,2,2,0.2596062471692,0
C2,S2,2,3,0.214573705290116,0
C2,S2,2,4,0.201406440667629,0
C2,S2,2,5,0.093847930491429,0
