cycle_id,feature_id,provided_stage_count,inclusive_n,inclusive_spearman,inclusive_kendall,inclusive_adjacent_increases,strict_n,strict_spearman,strict_kendall,strict_adjacent_increases,partial_cycle
C1,MAG_F1_DW_Q90,7,7,1,1,6,7,1,1,6,0
C1,MAG_F1_delta_S0,7,7,1,1,6,7,1,1,6,0
C1,MEM_F4_ZSD,7,7,1,1,6,7,1,1,6,0
C1,ETP_E1_CDIFF,7,6,0.657142857142857,0.466666666666667,3,6,0.657142857142857,0.466666666666667,3,0
C1,ETP_E2_MOMENT,7,6,0.828571428571429,0.733333333333333,4,6,0.828571428571429,0.733333333333333,4,0
C1,ETP_EDirect,7,7,0.928571428571428,0.80952380952381,4,7,0.928571428571428,0.80952380952381,4,0
C1,ETP_E5_WELD,7,7,0.464285714285714,0.428571428571429,5,7,0.464285714285714,0.428571428571429,5,0
C1,ETP_E6_OUT,7,7,1,1,6,7,1,1,6,0
C2,MAG_F1_DW_Q90,7,6,1,1,5,6,1,1,5,0
C2,MAG_F1_delta_S0,7,6,1,1,5,6,1,1,5,0
C2,MEM_F4_ZSD,7,6,1,1,5,6,1,1,5,0
C2,ETP_E1_CDIFF,7,6,-0.371428571428571,-0.333333333333333,1,6,-0.371428571428571,-0.333333333333333,1,0
C2,ETP_E2_MOMENT,7,6,-0.371428571428571,-0.333333333333333,1,6,-0.371428571428571,-0.333333333333333,1,0
C2,ETP_EDirect,7,7,0.964285714285714,0.904761904761905,5,7,0.964285714285714,0.904761904761905,5,0
C2,ETP_E5_WELD,7,7,0.142857142857143,0.0476190476190476,2,7,0.142857142857143,0.0476190476190476,2,0
C2,ETP_E6_OUT,7,7,0.892857142857143,0.80952380952381,5,7,0.892857142857143,0.80952380952381,5,0
C3,MAG_F1_DW_Q90,3,3,1,1,2,3,1,1,2,1
C3,MAG_F1_delta_S0,3,3,1,1,2,3,1,1,2,1
C3,MEM_F4_ZSD,3,3,1,1,2,3,1,1,2,1
C3,ETP_E1_CDIFF,3,2,-1,-1,0,2,-1,-1,0,1
C3,ETP_E2_MOMENT,3,2,-1,-1,0,2,-1,-1,0,1
C3,ETP_EDirect,3,3,1,1,2,3,1,1,2,1
C3,ETP_E5_WELD,3,3,1,1,2,3,1,1,2,1
C3,ETP_E6_OUT,3,3,1,1,2,3,1,1,2,1
