modality,cycle_id,stage_id,fragment_index,file_name,numeric_stem,rows,columns_detected,stems_contiguous,trailing_empty_tolerated,stage_boundary_jump_ratio_max,all_chunks_expected_rows
ETP,C1,S0,1,285000.csv,285000,15000,67,1,1,1.53139963600472,1
ETP,C1,S0,2,300000.csv,300000,15000,67,1,1,1.53139963600472,1
ETP,C1,S0,3,315000.csv,315000,15000,67,1,1,1.53139963600472,1
ETP,C1,S0,4,330000.csv,330000,15000,67,1,1,1.53139963600472,1
ETP,C1,S0,5,345000.csv,345000,15000,67,1,1,1.53139963600472,1
ETP,C1,S0,6,360000.csv,360000,15000,67,1,1,1.53139963600472,1
ETP,C1,S1,1,330000.csv,330000,15000,67,1,1,1.49009900990098,1
ETP,C1,S1,2,345000.csv,345000,15000,67,1,1,1.49009900990098,1
ETP,C1,S1,3,360000.csv,360000,15000,67,1,1,1.49009900990098,1
ETP,C1,S1,4,375000.csv,375000,15000,67,1,1,1.49009900990098,1
ETP,C1,S1,5,390000.csv,390000,15000,67,1,1,1.49009900990098,1
ETP,C1,S1,6,405000.csv,405000,15000,67,1,1,1.49009900990098,1
ETP,C1,S2,1,420000.csv,420000,15000,67,1,1,1.45927445551686,1
ETP,C1,S2,2,435000.csv,435000,15000,67,1,1,1.45927445551686,1
ETP,C1,S2,3,450000.csv,450000,15000,67,1,1,1.45927445551686,1
ETP,C1,S2,4,465000.csv,465000,15000,67,1,1,1.45927445551686,1
ETP,C1,S2,5,480000.csv,480000,15000,67,1,1,1.45927445551686,1
ETP,C1,S3,1,675000.csv,675000,15000,67,1,1,1.42848860392316,1
ETP,C1,S3,2,690000.csv,690000,15000,67,1,1,1.42848860392316,1
ETP,C1,S3,3,705000.csv,705000,15000,67,1,1,1.42848860392316,1
ETP,C1,S3,4,720000.csv,720000,15000,67,1,1,1.42848860392316,1
ETP,C1,S3,5,735000.csv,735000,15000,67,1,1,1.42848860392316,1
ETP,C1,S4,1,735000.csv,735000,15000,67,1,1,5.33395827326626,1
ETP,C1,S4,2,750000.csv,750000,15000,67,1,1,5.33395827326626,1
ETP,C1,S4,3,765000.csv,765000,15000,67,1,1,5.33395827326626,1
ETP,C1,S4,4,780000.csv,780000,15000,67,1,1,5.33395827326626,1
ETP,C1,S4,5,795000.csv,795000,15000,67,1,1,5.33395827326626,1
ETP,C1,S4,6,810000.csv,810000,15000,67,1,1,5.33395827326626,1
ETP,C1,S5,1,675000.csv,675000,15000,67,1,1,1.4481132075472,1
ETP,C1,S5,2,690000.csv,690000,15000,67,1,1,1.4481132075472,1
ETP,C1,S5,3,705000.csv,705000,15000,67,1,1,1.4481132075472,1
ETP,C1,S5,4,720000.csv,720000,15000,67,1,1,1.4481132075472,1
ETP,C1,S5,5,735000.csv,735000,15000,67,1,1,1.4481132075472,1
ETP,C1,S5,6,750000.csv,750000,15000,67,1,1,1.4481132075472,1
ETP,C1,S6,1,720000.csv,720000,15000,67,1,1,1.5975524289604,1
ETP,C1,S6,2,735000.csv,735000,15000,67,1,1,1.5975524289604,1
ETP,C1,S6,3,750000.csv,750000,15000,67,1,1,1.5975524289604,1
ETP,C1,S6,4,765000.csv,765000,15000,67,1,1,1.5975524289604,1
ETP,C1,S6,5,780000.csv,780000,15000,67,1,1,1.5975524289604,1
ETP,C1,S6,6,795000.csv,795000,15000,67,1,1,1.5975524289604,1
ETP,C2,S0,1,225000.csv,225000,15000,67,1,1,1.2955155121943,1
ETP,C2,S0,2,240000.csv,240000,15000,67,1,1,1.2955155121943,1
ETP,C2,S0,3,255000.csv,255000,15000,67,1,1,1.2955155121943,1
