FragmentIndex,Name,Path,Stem,ExpectedStemFromPrevious,Rows,ColumnsDetectedByReadmatrix,HeaderFieldCount,FirstDataFieldCount,DataLineHasTrailingDelimiter,HeaderContractPass,First1307FiniteFraction,ContinuousFromPrevious,GapOrOverlapRows,FileBytes,NominalFragmentRows,IsShortFragment,IsFinalFragment,AllowedShortFinalFragment,cycle_id,stage_id,modality
1,75000.csv,raw/blind/C1/magnetic/零压力测试/75000.csv,75000,NaN,15000,1307,1307,1308,1,1,1,1,0,115201758,15000,0,0,0,C1,S0,MAGNETIC
2,90000.csv,raw/blind/C1/magnetic/零压力测试/90000.csv,90000,90000,15000,1307,1307,1308,1,1,1,1,0,115397316,15000,0,0,0,C1,S0,MAGNETIC
3,105000.csv,raw/blind/C1/magnetic/零压力测试/105000.csv,105000,105000,15000,1307,1307,1308,1,1,1,1,0,115189476,15000,0,0,0,C1,S0,MAGNETIC
4,120000.csv,raw/blind/C1/magnetic/零压力测试/120000.csv,120000,120000,15000,1307,1307,1308,1,1,1,1,0,115357580,15000,0,0,0,C1,S0,MAGNETIC
5,135000.csv,raw/blind/C1/magnetic/零压力测试/135000.csv,135000,135000,15000,1307,1307,1308,1,1,1,1,0,115393071,15000,0,1,0,C1,S0,MAGNETIC
1,30000.csv,raw/blind/C1/magnetic/第一次加压/30000.csv,30000,NaN,15000,1307,1307,1308,1,1,1,1,0,115078445,15000,0,0,0,C1,S1,MAGNETIC
2,45000.csv,raw/blind/C1/magnetic/第一次加压/45000.csv,45000,45000,15000,1307,1307,1308,1,1,1,1,0,115133129,15000,0,0,0,C1,S1,MAGNETIC
3,60000.csv,raw/blind/C1/magnetic/第一次加压/60000.csv,60000,60000,15000,1307,1307,1308,1,1,1,1,0,115167007,15000,0,0,0,C1,S1,MAGNETIC
4,75000.csv,raw/blind/C1/magnetic/第一次加压/75000.csv,75000,75000,15000,1307,1307,1308,1,1,1,1,0,114798355,15000,0,0,0,C1,S1,MAGNETIC
5,90000.csv,raw/blind/C1/magnetic/第一次加压/90000.csv,90000,90000,15000,1307,1307,1308,1,1,1,1,0,114953480,15000,0,0,0,C1,S1,MAGNETIC
6,105000.csv,raw/blind/C1/magnetic/第一次加压/105000.csv,105000,105000,15000,1307,1307,1308,1,1,1,1,0,115396510,15000,0,1,0,C1,S1,MAGNETIC
1,30000.csv,raw/blind/C1/magnetic/第二次加压/30000.csv,30000,NaN,15000,1307,1307,1308,1,1,1,1,0,114964674,15000,0,0,0,C1,S2,MAGNETIC
2,45000.csv,raw/blind/C1/magnetic/第二次加压/45000.csv,45000,45000,15000,1307,1307,1308,1,1,1,1,0,115195525,15000,0,0,0,C1,S2,MAGNETIC
3,60000.csv,raw/blind/C1/magnetic/第二次加压/60000.csv,60000,60000,15000,1307,1307,1308,1,1,1,1,0,114800123,15000,0,0,0,C1,S2,MAGNETIC
4,75000.csv,raw/blind/C1/magnetic/第二次加压/75000.csv,75000,75000,15000,1307,1307,1308,1,1,1,1,0,114814842,15000,0,0,0,C1,S2,MAGNETIC
5,90000.csv,raw/blind/C1/magnetic/第二次加压/90000.csv,90000,90000,15000,1307,1307,1308,1,1,1,1,0,115230296,15000,0,1,0,C1,S2,MAGNETIC
1,75000.csv,raw/blind/C1/magnetic/第三次加压/75000.csv,75000,NaN,15000,1307,1307,1308,1,1,1,1,0,114978763,15000,0,0,0,C1,S3,MAGNETIC
2,90000.csv,raw/blind/C1/magnetic/第三次加压/90000.csv,90000,90000,15000,1307,1307,1308,1,1,1,1,0,115245332,15000,0,0,0,C1,S3,MAGNETIC
3,105000.csv,raw/blind/C1/magnetic/第三次加压/105000.csv,105000,105000,15000,1307,1307,1308,1,1,1,1,0,114927511,15000,0,0,0,C1,S3,MAGNETIC
4,120000.csv,raw/blind/C1/magnetic/第三次加压/120000.csv,120000,120000,15000,1307,1307,1308,1,1,1,1,0,114784166,15000,0,0,0,C1,S3,MAGNETIC
5,135000.csv,raw/blind/C1/magnetic/第三次加压/135000.csv,135000,135000,15000,1307,1307,1308,1,1,1,1,0,115253206,15000,0,1,0,C1,S3,MAGNETIC
1,30000.csv,raw/blind/C1/magnetic/第四次加压/30000.csv,30000,NaN,15000,1307,1307,1308,1,1,1,1,0,114688080,15000,0,0,0,C1,S4,MAGNETIC
2,45000.csv,raw/blind/C1/magnetic/第四次加压/45000.csv,45000,45000,15000,1307,1307,1308,1,1,1,1,0,115284020,15000,0,0,0,C1,S4,MAGNETIC
3,60000.csv,raw/blind/C1/magnetic/第四次加压/60000.csv,60000,60000,15000,1307,1307,1308,1,1,1,1,0,115132447,15000,0,0,0,C1,S4,MAGNETIC
4,75000.csv,raw/blind/C1/magnetic/第四次加压/75000.csv,75000,75000,15000,1307,1307,1308,1,1,1,1,0,114838275,15000,0,0,0,C1,S4,MAGNETIC
