cycle_id,stage_id,stage_ordinal,status,source_note,rows,entry,weld,exit,in_pipe_span,left_right_ratio,span_relative_deviation,legacy_max_difference_fraction,remanence_x_saturation_fraction,MEM_temperature_C,remanence_temperature_C,fragment_count,fragments_continuous,short_final_fragment,feature_eligible,repeatability_eligible,known_operator_warning
C1,S0,0,PASS,,75000,9354,38473,66187,56834,1.05069639893195,0.0241656454984502,0,0.0005901667,39.75332,39.2848,5,1,0,1,1,0
C1,S1,1,PASS,,90000,20075,49288,76791,56717,1.06217503545068,0.0220572334750955,0,0.0005105555,42.99818,42.48849,6,1,0,1,1,0
C1,S2,2,PASS,,75000,10313,39604,67133,56821,1.06400523084747,0.0239313774958552,0,0.0006080001,44.43324,43.75181,5,1,0,1,1,0
C1,S3,3,PASS,,75000,11698,40880,68442,56745,1.05877657644583,0.0225618107114538,0,0.0006290001,45.84474,45.21981,5,1,0,1,1,0
C1,S4,4,PASS,,75000,13766,43615,71164,57399,1.08348760390577,0.0343472933035391,0,0.0005880834,46.71693,45.97826,5,1,0,1,1,0
C1,S5,5,PASS,,90000,14600,44180,71741,57142,1.07325568738435,0.0297159950983925,0,0.0005278473,47.18521,46.28007,6,1,0,1,1,0
C1,S6,6,PASS,,75000,8043,37808,65934,57892,1.05827348360947,0.0432314567865639,0,0.0005921667,47.85474,46.91693,5,1,0,1,1,0
C2,S0,0,PASS,,75000,12204,42043,70092,57889,1.0638168918678,0.0431773949398111,0,0.0005988334,45.94998,45.38848,5,1,0,1,1,0
C2,S1,1,PASS,,75000,13822,43731,71821,58000,1.06475614097544,0.0451776832696604,0,0.0006190001,48.16676,47.6434,5,1,0,1,1,0
C2,S2,2,REJECT,本次数据有问题，焊缝的数据并不在中间位置,136572,8292,38221,53305,45014,1.98415539644657,0.188838030707129,1.70530735565281,0.0001392123,48.14484,47.45191,10,1,1,0,0,1
C2,S3,3,PASS,,90000,9773,40063,67771,57999,1.09318608344161,0.0451596626540762,0,0.0004992361,47.32845,46.40846,6,1,0,1,1,0
C2,S4,4,PASS,,75000,5973,35879,63982,58010,1.06415685158168,0.0453578894255027,0,0.0005908334,47.84997,47.1164,5,1,0,1,1,0
C2,S5,5,PASS,,75000,3330,33432,61499,58170,1.07250507713685,0.0482411879189792,0,0.0006060833,47.80366,46.97689,5,1,0,1,1,0
C2,S6,6,PASS,,90000,14627,44767,72693,58067,1.07928095681444,0.0463850645138038,0,0.000555625,47.81659,46.97127,6,1,0,1,1,0
C3,S0,0,PASS,,90000,14834,44858,72941,58108,1.06911654737742,0.0471239097527572,0,0.0005044445,45.01317,44.20351,6,1,0,1,1,0
C3,S1,1,PASS,,90000,15459,45490,73567,58109,1.06959432987855,0.0471419303683414,0,0.000498125,45.98024,45.2149,6,1,0,1,1,0
C3,S2,2,PASS,,75000,7533,37439,65563,58031,1.0633622528801,0.0457363223527716,0,0.0006378334,46.42387,45.73705,5,1,0,1,1,0
