Modality,CycleID,CycleOrdinal,StageID,StageOrdinal,StageName,StageFolder,SourceNote,FragmentCount,Available,AvailableStagesInCycle,CycleComplete,CyclePartial,FragmentNames,FragmentStems
MAGNETIC,C1,1,S0,0,零压力测试,raw/blind/C1/magnetic/零压力测试,,5,1,7,1,0,75000.csv;90000.csv;105000.csv;120000.csv;135000.csv,75000;90000;105000;120000;135000
MAGNETIC,C1,1,S1,1,第一次加压,raw/blind/C1/magnetic/第一次加压,,6,1,7,1,0,30000.csv;45000.csv;60000.csv;75000.csv;90000.csv;105000.csv,30000;45000;60000;75000;90000;105000
MAGNETIC,C1,1,S2,2,第二次加压,raw/blind/C1/magnetic/第二次加压,,5,1,7,1,0,30000.csv;45000.csv;60000.csv;75000.csv;90000.csv,30000;45000;60000;75000;90000
MAGNETIC,C1,1,S3,3,第三次加压,raw/blind/C1/magnetic/第三次加压,,5,1,7,1,0,75000.csv;90000.csv;105000.csv;120000.csv;135000.csv,75000;90000;105000;120000;135000
MAGNETIC,C1,1,S4,4,第四次加压,raw/blind/C1/magnetic/第四次加压,,5,1,7,1,0,30000.csv;45000.csv;60000.csv;75000.csv;90000.csv,30000;45000;60000;75000;90000
MAGNETIC,C1,1,S5,5,第五次加压,raw/blind/C1/magnetic/第五次加压,,6,1,7,1,0,75000.csv;90000.csv;105000.csv;120000.csv;135000.csv;150000.csv,75000;90000;105000;120000;135000;150000
MAGNETIC,C1,1,S6,6,第六次加压,raw/blind/C1/magnetic/第六次加压,,5,1,7,1,0,30000.csv;45000.csv;60000.csv;75000.csv;90000.csv,30000;45000;60000;75000;90000
MAGNETIC,C2,2,S0,0,零压力测试,raw/blind/C2/magnetic/零压力测试,,5,1,7,1,0,15000.csv;30000.csv;45000.csv;60000.csv;75000.csv,15000;30000;45000;60000;75000
MAGNETIC,C2,2,S1,1,第一次加压,raw/blind/C2/magnetic/第一次加压,,5,1,7,1,0,0.csv;15000.csv;30000.csv;45000.csv;60000.csv,0;15000;30000;45000;60000
MAGNETIC,C2,2,S2,2,第二次加压,raw/blind/C2/magnetic/第二次加压,本次数据有问题，焊缝的数据并不在中间位置,10,1,7,1,0,30000.csv;45000.csv;60000.csv;75000.csv;90000.csv;105000.csv;120000.csv;135000.csv;150000.csv;165000.csv,30000;45000;60000;75000;90000;105000;120000;135000;150000;165000
MAGNETIC,C2,2,S3,3,第三次加压,raw/blind/C2/magnetic/第三次加压,,6,1,7,1,0,75000.csv;90000.csv;105000.csv;120000.csv;135000.csv;150000.csv,75000;90000;105000;120000;135000;150000
MAGNETIC,C2,2,S4,4,第四次加压,raw/blind/C2/magnetic/第四次加压,,5,1,7,1,0,75000.csv;90000.csv;105000.csv;120000.csv;135000.csv,75000;90000;105000;120000;135000
MAGNETIC,C2,2,S5,5,第五次加压,raw/blind/C2/magnetic/第五次加压,,5,1,7,1,0,45000.csv;60000.csv;75000.csv;90000.csv;105000.csv,45000;60000;75000;90000;105000
MAGNETIC,C2,2,S6,6,第六次加压,raw/blind/C2/magnetic/第六次加压,,6,1,7,1,0,60000.csv;75000.csv;90000.csv;105000.csv;120000.csv;135000.csv,60000;75000;90000;105000;120000;135000
MAGNETIC,C3,3,S0,0,零压力测试,raw/blind/C3/magnetic/零压力测试,,6,1,3,0,1,60000.csv;75000.csv;90000.csv;105000.csv;120000.csv;135000.csv,60000;75000;90000;105000;120000;135000
MAGNETIC,C3,3,S1,1,第一次加压,raw/blind/C3/magnetic/第一次加压,,6,1,3,0,1,60000.csv;75000.csv;90000.csv;105000.csv;120000.csv;135000.csv,60000;75000;90000;105000;120000;135000
MAGNETIC,C3,3,S2,2,第二次加压,raw/blind/C3/magnetic/第二次加压,,5,1,3,0,1,60000.csv;75000.csv;90000.csv;105000.csv;120000.csv,60000;75000;90000;105000;120000
MAGNETIC,C3,3,S3,3,第三次加压,raw/blind/C3/magnetic/第三次加压,,0,0,3,0,1,,
MAGNETIC,C3,3,S4,4,第四次加压,raw/blind/C3/magnetic/第四次加压,,0,0,3,0,1,,
MAGNETIC,C3,3,S5,5,第五次加压,raw/blind/C3/magnetic/第五次加压,,0,0,3,0,1,,
MAGNETIC,C3,3,S6,6,第六次加压,raw/blind/C3/magnetic/第六次加压,,0,0,3,0,1,,
ETP,C1,1,S0,0,零压力测试,raw/blind/C1/etp/零压力测试,,6,1,7,1,0,285000.csv;300000.csv;315000.csv;330000.csv;345000.csv;360000.csv,285000;300000;315000;330000;345000;360000
ETP,C1,1,S1,1,第一次加压,raw/blind/C1/etp/第一次加压,,6,1,7,1,0,330000.csv;345000.csv;360000.csv;375000.csv;390000.csv;405000.csv,330000;345000;360000;375000;390000;405000
ETP,C1,1,S2,2,第二次加压,raw/blind/C1/etp/第二次加压,,5,1,7,1,0,420000.csv;435000.csv;450000.csv;465000.csv;480000.csv,420000;435000;450000;465000;480000
ETP,C1,1,S3,3,第三次加压,raw/blind/C1/etp/第三次加压,,5,1,7,1,0,675000.csv;690000.csv;705000.csv;720000.csv;735000.csv,675000;690000;705000;720000;735000
ETP,C1,1,S4,4,第四次加压,raw/blind/C1/etp/第四次加压,,6,1,7,1,0,735000.csv;750000.csv;765000.csv;780000.csv;795000.csv;810000.csv,735000;750000;765000;780000;795000;810000
ETP,C1,1,S5,5,第五次加压,raw/blind/C1/etp/第五次加压,,6,1,7,1,0,675000.csv;690000.csv;705000.csv;720000.csv;735000.csv;750000.csv,675000;690000;705000;720000;735000;750000
ETP,C1,1,S6,6,第六次加压,raw/blind/C1/etp/第六次加压,,6,1,7,1,0,720000.csv;735000.csv;750000.csv;765000.csv;780000.csv;795000.csv,720000;735000;750000;765000;780000;795000
ETP,C2,2,S0,0,零压力测试,raw/blind/C2/etp/零压力测试,,5,1,7,1,0,225000.csv;240000.csv;255000.csv;270000.csv;285000.csv,225000;240000;255000;270000;285000
ETP,C2,2,S1,1,第一次加压,raw/blind/C2/etp/第一次加压,,6,1,7,1,0,675000.csv;690000.csv;705000.csv;720000.csv;735000.csv;750000.csv,675000;690000;705000;720000;735000;750000
ETP,C2,2,S2,2,第二次加压,raw/blind/C2/etp/第二次加压,,6,1,7,1,0,630000.csv;645000.csv;660000.csv;675000.csv;690000.csv;705000.csv,630000;645000;660000;675000;690000;705000
ETP,C2,2,S3,3,第三次加压,raw/blind/C2/etp/第三次加压,,6,1,7,1,0,375000.csv;390000.csv;405000.csv;420000.csv;435000.csv;450000.csv,375000;390000;405000;420000;435000;450000
ETP,C2,2,S4,4,第四次加压,raw/blind/C2/etp/第四次加压,,6,1,7,1,0,660000.csv;675000.csv;690000.csv;705000.csv;720000.csv;735000.csv,660000;675000;690000;705000;720000;735000
ETP,C2,2,S5,5,第五次加压,raw/blind/C2/etp/第五次加压,,6,1,7,1,0,630000.csv;645000.csv;660000.csv;675000.csv;690000.csv;705000.csv,630000;645000;660000;675000;690000;705000
ETP,C2,2,S6,6,第六次加压,raw/blind/C2/etp/第六次加压,,5,1,7,1,0,675000.csv;690000.csv;705000.csv;720000.csv;735000.csv,675000;690000;705000;720000;735000
ETP,C3,3,S0,0,零压力测试,raw/blind/C3/etp/零压力测试,,5,1,3,0,1,285000.csv;300000.csv;315000.csv;330000.csv;345000.csv,285000;300000;315000;330000;345000
ETP,C3,3,S1,1,第一次加压,raw/blind/C3/etp/第一次加压,,6,1,3,0,1,480000.csv;495000.csv;510000.csv;525000.csv;540000.csv;555000.csv,480000;495000;510000;525000;540000;555000
ETP,C3,3,S2,2,第二次加压,raw/blind/C3/etp/第二次加压,,6,1,3,0,1,765000.csv;780000.csv;795000.csv;810000.csv;825000.csv;840000.csv,765000;780000;795000;810000;825000;840000
ETP,C3,3,S3,3,第三次加压,raw/blind/C3/etp/第三次加压,,0,0,3,0,1,,
ETP,C3,3,S4,4,第四次加压,raw/blind/C3/etp/第四次加压,,0,0,3,0,1,,
ETP,C3,3,S5,5,第五次加压,raw/blind/C3/etp/第五次加压,,0,0,3,0,1,,
ETP,C3,3,S6,6,第六次加压,raw/blind/C3/etp/第六次加压,,0,0,3,0,1,,
