feature_id,cycle_id,stage_id,stage_ordinal,configuration,left_shift,right_shift,half_width,feature_value
MAG_F1_DW_Q90,C1,S0,0,0,-0.025,-0.025,0.026,0.10285659400871
MAG_F1_DW_Q90,C1,S0,0,1,-0.025,-0.025,0.033,0.10171776536177
MAG_F1_DW_Q90,C1,S0,0,2,-0.025,-0.025,0.042,0.099843977807957
MAG_F1_DW_Q90,C1,S0,0,3,-0.025,0,0.026,0.100948543103613
MAG_F1_DW_Q90,C1,S0,0,4,-0.025,0,0.033,0.0990215835367724
MAG_F1_DW_Q90,C1,S0,0,5,-0.025,0,0.042,0.0972994928955536
MAG_F1_DW_Q90,C1,S0,0,6,-0.025,0.025,0.026,0.0958234670600726
MAG_F1_DW_Q90,C1,S0,0,7,-0.025,0.025,0.033,0.0960074654585553
MAG_F1_DW_Q90,C1,S0,0,8,-0.025,0.025,0.042,0.0957907081369616
MAG_F1_DW_Q90,C1,S0,0,9,0,-0.025,0.026,0.104923352803156
MAG_F1_DW_Q90,C1,S0,0,10,0,-0.025,0.033,0.105419307268341
MAG_F1_DW_Q90,C1,S0,0,11,0,-0.025,0.042,0.104729836638409
MAG_F1_DW_Q90,C1,S0,0,12,0,0,0.026,0.102599940723139
MAG_F1_DW_Q90,C1,S0,0,13,0,0,0.033,0.102145171595957
MAG_F1_DW_Q90,C1,S0,0,14,0,0,0.042,0.102071802944191
MAG_F1_DW_Q90,C1,S0,0,15,0,0.025,0.026,0.100570805319198
MAG_F1_DW_Q90,C1,S0,0,16,0,0.025,0.033,0.100285414316609
MAG_F1_DW_Q90,C1,S0,0,17,0,0.025,0.042,0.0995806049813022
MAG_F1_DW_Q90,C1,S0,0,18,0.025,-0.025,0.026,0.110311163766994
MAG_F1_DW_Q90,C1,S0,0,19,0.025,-0.025,0.033,0.108887026486129
MAG_F1_DW_Q90,C1,S0,0,20,0.025,-0.025,0.042,0.107584024906156
MAG_F1_DW_Q90,C1,S0,0,21,0.025,0,0.026,0.106996224900388
MAG_F1_DW_Q90,C1,S0,0,22,0.025,0,0.033,0.105618177877512
MAG_F1_DW_Q90,C1,S0,0,23,0.025,0,0.042,0.104898050647433
MAG_F1_DW_Q90,C1,S0,0,24,0.025,0.025,0.026,0.103676025192721
MAG_F1_DW_Q90,C1,S0,0,25,0.025,0.025,0.033,0.101896024177176
MAG_F1_DW_Q90,C1,S0,0,26,0.025,0.025,0.042,0.101165114164352
MAG_F1_DW_Q90,C1,S1,1,0,-0.025,-0.025,0.026,0.245185022036507
MAG_F1_DW_Q90,C1,S1,1,1,-0.025,-0.025,0.033,0.246090436617969
MAG_F1_DW_Q90,C1,S1,1,2,-0.025,-0.025,0.042,0.247370658309982
MAG_F1_DW_Q90,C1,S1,1,3,-0.025,0,0.026,0.242100477397008
MAG_F1_DW_Q90,C1,S1,1,4,-0.025,0,0.033,0.246192574322707
MAG_F1_DW_Q90,C1,S1,1,5,-0.025,0,0.042,0.250241083287563
MAG_F1_DW_Q90,C1,S1,1,6,-0.025,0.025,0.026,0.242193011112409
MAG_F1_DW_Q90,C1,S1,1,7,-0.025,0.025,0.033,0.245739468299353
MAG_F1_DW_Q90,C1,S1,1,8,-0.025,0.025,0.042,0.253623732761773
MAG_F1_DW_Q90,C1,S1,1,9,0,-0.025,0.026,0.24792432444115
MAG_F1_DW_Q90,C1,S1,1,10,0,-0.025,0.033,0.249204475416938
MAG_F1_DW_Q90,C1,S1,1,11,0,-0.025,0.042,0.249188381738946
MAG_F1_DW_Q90,C1,S1,1,12,0,0,0.026,0.245008383119959
MAG_F1_DW_Q90,C1,S1,1,13,0,0,0.033,0.248739205118539
MAG_F1_DW_Q90,C1,S1,1,14,0,0,0.042,0.251883996839879
MAG_F1_DW_Q90,C1,S1,1,15,0,0.025,0.026,0.250835429186875
MAG_F1_DW_Q90,C1,S1,1,16,0,0.025,0.033,0.2512134872876
MAG_F1_DW_Q90,C1,S1,1,17,0,0.025,0.042,0.255274212933576
MAG_F1_DW_Q90,C1,S1,1,18,0.025,-0.025,0.026,0.25379968466998
MAG_F1_DW_Q90,C1,S1,1,19,0.025,-0.025,0.033,0.256747240082712
MAG_F1_DW_Q90,C1,S1,1,20,0.025,-0.025,0.042,0.258213773033606
MAG_F1_DW_Q90,C1,S1,1,21,0.025,0,0.026,0.25163003833783
MAG_F1_DW_Q90,C1,S1,1,22,0.025,0,0.033,0.25439942064843
MAG_F1_DW_Q90,C1,S1,1,23,0.025,0,0.042,0.261456580467491
MAG_F1_DW_Q90,C1,S1,1,24,0.025,0.025,0.026,0.256621419645257
MAG_F1_DW_Q90,C1,S1,1,25,0.025,0.025,0.033,0.256890994044906
MAG_F1_DW_Q90,C1,S1,1,26,0.025,0.025,0.042,0.258971299536207
MAG_F1_DW_Q90,C1,S2,2,0,-0.025,-0.025,0.026,0.470626596020385
MAG_F1_DW_Q90,C1,S2,2,1,-0.025,-0.025,0.033,0.473522207888406
MAG_F1_DW_Q90,C1,S2,2,2,-0.025,-0.025,0.042,0.475635471323882
MAG_F1_DW_Q90,C1,S2,2,3,-0.025,0,0.026,0.471555471080948
MAG_F1_DW_Q90,C1,S2,2,4,-0.025,0,0.033,0.476495859413504
MAG_F1_DW_Q90,C1,S2,2,5,-0.025,0,0.042,0.480730460425845
MAG_F1_DW_Q90,C1,S2,2,6,-0.025,0.025,0.026,0.473751258937114
MAG_F1_DW_Q90,C1,S2,2,7,-0.025,0.025,0.033,0.475064490909518
MAG_F1_DW_Q90,C1,S2,2,8,-0.025,0.025,0.042,0.479826008391661
MAG_F1_DW_Q90,C1,S2,2,9,0,-0.025,0.026,0.474870471356226
MAG_F1_DW_Q90,C1,S2,2,10,0,-0.025,0.033,0.480885606403029
MAG_F1_DW_Q90,C1,S2,2,11,0,-0.025,0.042,0.481361839127315
MAG_F1_DW_Q90,C1,S2,2,12,0,0,0.026,0.474443890681767
MAG_F1_DW_Q90,C1,S2,2,13,0,0,0.033,0.480729802512445
MAG_F1_DW_Q90,C1,S2,2,14,0,0,0.042,0.486095624690946
MAG_F1_DW_Q90,C1,S2,2,15,0,0.025,0.026,0.475540413021281
MAG_F1_DW_Q90,C1,S2,2,16,0,0.025,0.033,0.478375951747988
MAG_F1_DW_Q90,C1,S2,2,17,0,0.025,0.042,0.481677066040229
MAG_F1_DW_Q90,C1,S2,2,18,0.025,-0.025,0.026,0.484969239917113
MAG_F1_DW_Q90,C1,S2,2,19,0.025,-0.025,0.033,0.488412686970056
MAG_F1_DW_Q90,C1,S2,2,20,0.025,-0.025,0.042,0.493387111839266
MAG_F1_DW_Q90,C1,S2,2,21,0.025,0,0.026,0.483301287274519
MAG_F1_DW_Q90,C1,S2,2,22,0.025,0,0.033,0.491396379810943
MAG_F1_DW_Q90,C1,S2,2,23,0.025,0,0.042,0.49771845480828
MAG_F1_DW_Q90,C1,S2,2,24,0.025,0.025,0.026,0.479249521458229
MAG_F1_DW_Q90,C1,S2,2,25,0.025,0.025,0.033,0.48406356999921
MAG_F1_DW_Q90,C1,S2,2,26,0.025,0.025,0.042,0.494451956487666
MAG_F1_DW_Q90,C1,S3,3,0,-0.025,-0.025,0.026,0.796411793695136
MAG_F1_DW_Q90,C1,S3,3,1,-0.025,-0.025,0.033,0.798841608875656
MAG_F1_DW_Q90,C1,S3,3,2,-0.025,-0.025,0.042,0.803762729358221
MAG_F1_DW_Q90,C1,S3,3,3,-0.025,0,0.026,0.806372232336841
MAG_F1_DW_Q90,C1,S3,3,4,-0.025,0,0.033,0.811290036070661
MAG_F1_DW_Q90,C1,S3,3,5,-0.025,0,0.042,0.815951193009541
MAG_F1_DW_Q90,C1,S3,3,6,-0.025,0.025,0.026,0.812112287627997
MAG_F1_DW_Q90,C1,S3,3,7,-0.025,0.025,0.033,0.816417840414775
MAG_F1_DW_Q90,C1,S3,3,8,-0.025,0.025,0.042,0.822738587917333
MAG_F1_DW_Q90,C1,S3,3,9,0,-0.025,0.026,0.795258771858717
MAG_F1_DW_Q90,C1,S3,3,10,0,-0.025,0.033,0.79808994930887
MAG_F1_DW_Q90,C1,S3,3,11,0,-0.025,0.042,0.804450598442352
MAG_F1_DW_Q90,C1,S3,3,12,0,0,0.026,0.804813201896167
MAG_F1_DW_Q90,C1,S3,3,13,0,0,0.033,0.811895382541644
MAG_F1_DW_Q90,C1,S3,3,14,0,0,0.042,0.818809595992345
MAG_F1_DW_Q90,C1,S3,3,15,0,0.025,0.026,0.811138286507354
MAG_F1_DW_Q90,C1,S3,3,16,0,0.025,0.033,0.817513567291513
MAG_F1_DW_Q90,C1,S3,3,17,0,0.025,0.042,0.82412387508288
MAG_F1_DW_Q90,C1,S3,3,18,0.025,-0.025,0.026,0.798239919056501
MAG_F1_DW_Q90,C1,S3,3,19,0.025,-0.025,0.033,0.800543251929187
MAG_F1_DW_Q90,C1,S3,3,20,0.025,-0.025,0.042,0.805155216002268
MAG_F1_DW_Q90,C1,S3,3,21,0.025,0,0.026,0.807463839264394
MAG_F1_DW_Q90,C1,S3,3,22,0.025,0,0.033,0.814606063254539
MAG_F1_DW_Q90,C1,S3,3,23,0.025,0,0.042,0.822060488013715
MAG_F1_DW_Q90,C1,S3,3,24,0.025,0.025,0.026,0.811002151484497
MAG_F1_DW_Q90,C1,S3,3,25,0.025,0.025,0.033,0.818863118464792
MAG_F1_DW_Q90,C1,S3,3,26,0.025,0.025,0.042,0.82541083075326
MAG_F1_DW_Q90,C1,S4,4,0,-0.025,-0.025,0.026,1.10427976238728
MAG_F1_DW_Q90,C1,S4,4,1,-0.025,-0.025,0.033,1.11076630418282
MAG_F1_DW_Q90,C1,S4,4,2,-0.025,-0.025,0.042,1.1154252596782
MAG_F1_DW_Q90,C1,S4,4,3,-0.025,0,0.026,1.11098028722213
MAG_F1_DW_Q90,C1,S4,4,4,-0.025,0,0.033,1.12269733046343
MAG_F1_DW_Q90,C1,S4,4,5,-0.025,0,0.042,1.13265372320629
MAG_F1_DW_Q90,C1,S4,4,6,-0.025,0.025,0.026,1.11504395221553
MAG_F1_DW_Q90,C1,S4,4,7,-0.025,0.025,0.033,1.119988699855
MAG_F1_DW_Q90,C1,S4,4,8,-0.025,0.025,0.042,1.13505306391743
MAG_F1_DW_Q90,C1,S4,4,9,0,-0.025,0.026,1.11056181319295
MAG_F1_DW_Q90,C1,S4,4,10,0,-0.025,0.033,1.11611161369428
MAG_F1_DW_Q90,C1,S4,4,11,0,-0.025,0.042,1.11916598819962
MAG_F1_DW_Q90,C1,S4,4,12,0,0,0.026,1.11992272151704
MAG_F1_DW_Q90,C1,S4,4,13,0,0,0.033,1.12867912075802
MAG_F1_DW_Q90,C1,S4,4,14,0,0,0.042,1.13744433871264
MAG_F1_DW_Q90,C1,S4,4,15,0,0.025,0.026,1.12370603579963
MAG_F1_DW_Q90,C1,S4,4,16,0,0.025,0.033,1.1307988233393
MAG_F1_DW_Q90,C1,S4,4,17,0,0.025,0.042,1.14472273809818
MAG_F1_DW_Q90,C1,S4,4,18,0.025,-0.025,0.026,1.11263697031451
MAG_F1_DW_Q90,C1,S4,4,19,0.025,-0.025,0.033,1.12036428824163
MAG_F1_DW_Q90,C1,S4,4,20,0.025,-0.025,0.042,1.12395157520954
MAG_F1_DW_Q90,C1,S4,4,21,0.025,0,0.026,1.12172906284865
