run_id,stage_mm,stress_mpa,q60_delta,q70_delta,q75_delta,q80_delta,sensor_n
mem_r1,0,0.000000,0.000000,0.000000,0.000000,0.000000,5
mem_r1,20,39.432582,162.541357,199.908263,234.823919,201.301575,5
mem_r1,40,83.695620,277.344383,322.822736,345.852575,318.557956,5
mem_r1,50,108.809149,435.737388,441.251480,439.451151,456.923552,5
mem_r1,60,132.885335,467.612304,468.897520,468.568616,542.385569,5
mem_r2,0,0.000000,0.000000,0.000000,0.000000,0.000000,5
mem_r2,20,44.262348,18.413367,33.603480,60.195583,54.233342,5
mem_r2,40,88.826177,83.484210,122.030041,117.374286,132.922558,5
mem_r2,50,113.215457,136.623796,161.080651,175.610789,178.442484,5
mem_r2,60,137.099653,238.588879,274.360143,285.740156,286.691659,5
